# 0.551136
LHPLU	0	1	0	0	5	null	UCVCLVrIVICIV	ITEM/0.559552
UCVCLVrIVICIV	0	1	0	1	13	LHPLU	1	DES/0.993978
1	1	0	0	1	1	UCVCLVrIVICIV	.	QTY/0.990927

# 0.269322
WBM	0	1	1	0	3	.	Item	DES/0.589412
Item	0	1	0	0	4	WBM	#	DES/0.984613
#	0	0	0	0	1	Item	UM	DES/0.989535
UM	0	1	0	0	2	#	WBM	UM/0.492449
WBM	0	1	0	0	3	UM	DESCRIPTION	DES/0.974654
DESCRIPTION	0	1	0	0	11	WBM	PRICING	DES/0.994068
PRICING	0	1	0	1	7	DESCRIPTION	.	DES/0.982943

# 0.317912
UNV10201	0	0	1	0	8	.	BX	ITEM/0.919669
BX	0	1	0	1	2	UNV10201	4	UM/0.982661
4	1	0	0	0	1	BX	SEC.	QTY/0.981934
SEC.	0	0	1	0	4	4	BLUE	PRICE/0.687816
BLUE	0	1	0	0	4	SEC.	CLASS.	DES/0.943607
CLASS.	0	0	0	0	6	BLUE	FOLDERS	DES/0.949643
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.989043
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990437
10/EA	0	0	0	0	5	-	$	PRICE/0.683487
$	0	0	0	1	1	10/EA	27.95	DES/0.874946
27.95	1	0	0	1	5	$	.	PRICE/0.992229

# 0.317017
UNV10252	0	0	1	0	8	.	BX	ITEM/0.919669
BX	0	1	0	1	2	UNV10252	4	UM/0.982661
4	1	0	0	0	1	BX	SEC.	QTY/0.981934
SEC.	0	0	1	0	4	4	GRAY	PRICE/0.687816
GRAY	0	1	0	0	4	SEC.	CLASS.	DES/0.943607
CLASS.	0	0	0	0	6	GRAY	FOLDERS	DES/0.949643
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.989043
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990421
10/EA	0	0	0	0	5	-	$	PRICE/0.683629
$	0	0	0	1	1	10/EA	16.99	DES/0.872275
16.99	1	0	0	1	5	$	.	PRICE/0.992273

# 0.378083
UNV10251	0	0	1	0	8	.	BX	ITEM/0.919669
BX	0	1	0	1	2	UNV10251	4	UM/0.982661
4	1	0	0	0	1	BX	SEC.	QTY/0.982132
SEC.	0	0	1	0	4	4	GREEN	PRICE/0.807311
GREEN	0	1	0	0	5	SEC.	CLASS.	DES/0.991847
CLASS.	0	0	0	0	6	GREEN	FOLDERS	DES/0.914460
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.992560
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.991317
10/EA	0	0	0	0	5	-	$	PRICE/0.680639
$	0	0	0	1	1	10/EA	18.99	DES/0.875026
18.99	1	0	0	1	5	$	.	PRICE/0.992714

# 0.149602
UNV10203	0	0	1	0	8	.	BX	ITEM/0.919669
BX	0	1	0	1	2	UNV10203	4	UM/0.982661
4	1	0	0	0	1	BX	SEC.	QTY/0.981934
SEC.	0	0	1	0	4	4	RUBY	DES/0.499911
RUBY	0	1	0	0	4	SEC.	RED	DES/0.687819
RED	0	1	0	0	3	RUBY	CLASS.	DES/0.999218
CLASS.	0	0	0	0	6	RED	FOLDERS	DES/0.844979
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.988089
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990437
10/EA	0	0	0	0	5	-	$	PRICE/0.683487
$	0	0	0	1	1	10/EA	27.95	DES/0.874946
27.95	1	0	0	1	5	$	.	PRICE/0.992229

# 0.368057
UNV10204	0	0	1	0	8	.	BX	ITEM/0.919669
BX	0	1	0	1	2	UNV10204	4	UM/0.982661
4	1	0	0	0	1	BX	SEC.	QTY/0.988405
SEC.	0	0	1	0	4	4	YELLOW	PRICE/0.778906
YELLOW	0	1	0	0	6	SEC.	CLASS.	DES/0.971483
CLASS.	0	0	0	0	6	YELLOW	FOLDERS	DES/0.933355
